0.374467,0.9543517,0.9036238,0.9288853,0.9486329,0.9827219,0.9435523,0.8182817
0.2560512,0.9309001,0.8714044,0.9206995,0.9426032,0.9777506,0.9340473,0.7859415
0.0784274,0.8957228,0.8230754,0.9084207,0.9335586,0.9702938,0.9197898,0.7374313
-0.1880082,0.8429568,0.7505817,0.8900026,0.9199919,0.9591085,0.8984036,0.6646659
0.01626961,0.7638077,0.6418412,0.8623755,0.8996415,0.9423304,0.8663244,0.5555178
-0.01881656,0.6450842,0.4787306,0.8209347,0.8691161,0.9171634,0.8182055,0.3917957
0.0008983157,0.4669988,0.2340645,0.7587736,0.823328,0.8794129,0.7460271,0.1462125
0.0008983157,0.1998708,-0.1329346,0.6655319,0.7546458,0.8227872,0.6377596,-0.2221622
0.0008983157,-0.2008211,4.748781E-08,0.5256693,0.6516225,0.7378485,0.4753582,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,0.3158754,0.4970876,0.6104405,0.2317562,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,0.001184495,0.2652852,0.4193285,-0.1336469,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,-0.4708518,-0.08241838,0.1326606,2.115359E-08,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,-0.2973413,2.115359E-08,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,9.441843E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,9.441843E-08
0.9054489,0.903695,0.9256628,0.9009876,0.7782688,0.907347,0.9235684,1
0.8703627,0.8967463,0.9161163,0.8985621,0.7764822,0.905874,0.9207522,0.9912189
0.8177335,0.8863235,0.9017966,0.894924,0.7738023,0.9036646,0.9165277,0.9780472
0.7387896,0.870689,0.880317,0.8894668,0.7697825,0.9003505,0.910191,0.9582896
0.6203737,0.8472375,0.8480976,0.8812809,0.7637528,0.8953791,0.900686,0.9286534
0.4427499,0.8120602,0.7997685,0.8690021,0.7547082,0.8879223,0.8864285,0.8841989
0.1763143,0.7592942,0.7272748,0.850584,0.7411414,0.876737,0.8650424,0.8175172
-0.2233392,0.6801451,0.6185344,0.8229569,0.7207911,0.8599589,0.8329631,0.7174946
0.005229303,0.5614216,0.4554237,0.7815161,0.6902657,0.834792,0.7848442,0.5674608
-0.02985687,0.3833362,0.2107576,0.7193549,0.6444776,0.7970415,0.7126659,0.3424099
0.0008983157,0.1162083,-0.1562415,0.6261132,0.5757954,0.7404157,0.6043983,0.004833747
0.0008983157,-0.2844837,4.748781E-08,0.4862506,0.4727722,0.655477,0.4419969,-0.5015305
0.0008983157,3.810949E-08,4.748781E-08,0.2764567,0.3182372,0.5280691,0.1983949,8.652443E-08
0.0008983157,3.810949E-08,4.748781E-08,-0.03823412,0.08643486,0.3369571,-0.1670082,8.652443E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,-0.2612687,0.05028919,2.115359E-08,8.652443E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,-0.3797127,2.115359E-08,8.652443E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,8.652443E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,8.652443E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,8.652443E-08
0.0008983157,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,8.652443E-08
1,0.3754546,0.6371347,0.3362583,0.5545719,0.6742836,0.8203572,0.9985548
1,0.8057152,0.9545007,0.9174941,0.7361299,0.7311048,0.8175409,0.9897737
0.9798275,0.7987666,0.9449543,0.9150686,0.7343433,0.7296318,0.8133165,0.976602
0.9495689,0.7883437,0.9306346,0.9114305,0.7316635,0.7274224,0.8069798,0.9568444
0.9041808,0.7727093,0.909155,0.9059733,0.7276436,0.7241082,0.7974748,0.9272081
0.8360987,0.7492577,0.8769356,0.8977874,0.7216139,0.7191369,0.7832173,0.8827537
0.7339755,0.7140805,0.8286065,0.8855086,0.7125693,0.71168,0.7618312,0.816072
0.5807908,0.6613144,0.7561129,0.8670905,0.6990024,0.7004947,0.7297519,0.7160494
0.3510137,0.5821654,0.6473724,0.8394634,0.6786522,0.6837167,0.681633,0.5660155
0.00634805,0.4634418,0.4842617,0.7980226,0.6481268,0.6585497,0.6094546,0.3409647
-0.5106505,0.2853565,0.2395957,0.7358614,0.6023387,0.6207992,0.501187,0.003388546
0.0005164784,0.01822849,-0.1274034,0.6426197,0.5336565,0.5641735,0.3387857,-0.5029757
0.0005164784,-0.3824635,4.748781E-08,0.5027571,0.4306332,0.4792348,0.09518364,8.652443E-08
0.0005164784,3.810949E-08,4.748781E-08,0.2929632,0.2760983,0.3518268,-0.2702194,8.652443E-08
0.0005164784,3.810949E-08,4.748781E-08,-0.02172764,0.04429593,0.1607149,2.115359E-08,8.652443E-08
0.0005164784,3.810949E-08,4.748781E-08,1.275857E-08,-0.3034076,-0.1259531,2.115359E-08,8.652443E-08
0.0005164784,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,8.652443E-08
0.0005164784,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,8.652443E-08
0.0005164784,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,8.652443E-08
0.0005164784,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,8.652443E-08
0.004344505,0.002556491,0.003357915,0.002047832,0.006505915,0.007520008,0.01267949,0.008421771
0.2016243,0.2423478,0.3343768,0.5052812,0.6787701,0.5831715,0.4193133,0.108468
0.1814518,0.2353992,0.3470909,0.5028558,0.6769836,0.5816986,0.4164971,0.09968685
0.1511931,0.2249763,0.3375444,0.4992176,0.6743037,0.5794891,0.4122726,0.08651515
0.105805,0.2093419,0.3232247,0.4937604,0.6702839,0.576175,0.405936,0.0667576
0.03772294,0.1858903,0.3017451,0.4855745,0.6642541,0.5712037,0.396431,0.03712129
-0.06440021,0.150713,0.2695257,0.4732958,0.6552095,0.5637468,0.3821736,-0.007333187
0.002609786,0.09794695,0.2211966,0.4548777,0.6416427,0.5525615,0.3607874,0.004006261
-0.01756269,0.01879792,0.1487029,0.4272505,0.6212925,0.5357835,0.3287081,-0.00477487
0.000520533,-0.09992564,0.03996247,0.3858097,0.590767,0.5106165,0.2805892,0.0002814001
-0.01965194,3.810949E-08,-0.1231482,0.3236486,0.5449789,0.472866,0.2084108,-0.008499731
0.0005164784,3.810949E-08,4.748781E-08,0.2304068,0.4762968,0.4162402,0.1001432,8.652443E-08
0.0005164784,3.810949E-08,4.748781E-08,0.09054424,0.3732735,0.3313016,-0.06225812,8.652443E-08
0.0005164784,3.810949E-08,4.748781E-08,-0.1192497,0.2187386,0.2038936,2.115359E-08,8.652443E-08
0.0005164784,3.810949E-08,4.748781E-08,1.275857E-08,-0.01306382,0.01278162,2.115359E-08,8.652443E-08
0.0005164784,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,-0.2738863,2.115359E-08,8.652443E-08
0.0005164784,3.810949E-08,4.748781E-08,1.275857E-08,1.036264E-08,9.582136E-09,2.115359E-08,8.652443E-08
